9.53986,100.07095,17.40,16/07/2025,07:57:21,6ca04074
9.53986,100.07095,16.50,16/07/2025,07:57:33,6ca04074
9.53986,100.07095,16.00,16/07/2025,07:57:46,6ca04074
9.53986,100.07095,16.60,16/07/2025,07:57:58,6ca04074
9.53985,100.07095,17.60,16/07/2025,07:58:15,6ca04074
9.53985,100.07095,18.20,16/07/2025,07:58:24,6ca04074
9.53984,100.07095,18.90,16/07/2025,07:58:40,6ca04074
9.53984,100.07095,20.40,16/07/2025,07:58:49,6ca04074
9.53984,100.07095,21.40,16/07/2025,07:59:02,6ca04074
9.53985,100.07094,21.40,16/07/2025,07:59:15,6ca04074
9.53985,100.07093,21.20,16/07/2025,07:59:31,6ca04074
9.53985,100.07092,21.20,16/07/2025,07:59:44,6ca04074
9.53985,100.07092,20.80,16/07/2025,07:59:53,6ca04074
9.53985,100.07092,20.00,16/07/2025,08:00:05,6ca04074
9.53985,100.07092,18.40,16/07/2025,08:00:19,6ca04074
9.53984,100.07092,17.60,16/07/2025,08:00:32,6ca04074
9.53984,100.07094,17.60,16/07/2025,08:00:48,6ca04074
9.53984,100.07094,16.70,16/07/2025,08:00:57,6ca04074
9.53983,100.07094,16.20,16/07/2025,08:01:09,6ca04074
9.53983,100.07094,15.20,16/07/2025,08:01:21,6ca04074
9.53982,100.07094,15.20,16/07/2025,08:01:34,6ca04074
9.53982,100.07094,15.20,16/07/2025,08:01:47,6ca04074
9.53982,100.07094,16.80,16/07/2025,08:02:04,6ca04074
9.53982,100.07092,17.30,16/07/2025,08:02:13,6ca04074
9.53983,100.07092,18.20,16/07/2025,08:02:26,6ca04074
9.53982,100.07094,20.10,16/07/2025,08:02:40,6ca04074
9.53982,100.07095,20.40,16/07/2025,08:02:49,6ca04074
9.53982,100.07094,21.00,16/07/2025,08:03:05,6ca04074
9.53982,100.07093,21.50,16/07/2025,08:03:14,6ca04074
9.53982,100.07093,22.30,16/07/2025,08:03:27,6ca04074
9.53983,100.07094,21.60,16/07/2025,08:03:40,6ca04074
9.53983,100.07093,19.90,16/07/2025,08:03:56,6ca04074
9.53984,100.07092,19.50,16/07/2025,08:04:05,6ca04074
9.53984,100.07092,18.60,16/07/2025,08:04:18,6ca04074
9.53984,100.07090,16.30,16/07/2025,08:04:31,6ca04074
9.53984,100.07089,15.20,16/07/2025,08:04:47,6ca04074
9.53984,100.07090,16.00,16/07/2025,08:04:56,6ca04074
9.53984,100.07091,16.90,16/07/2025,08:05:09,6ca04074
9.53984,100.07092,17.70,16/07/2025,08:05:25,6ca04074
9.53983,100.07093,17.80,16/07/2025,08:06:00,6ca04074
9.53983,100.07093,19.40,16/07/2025,08:06:13,6ca04074
9.53983,100.07093,19.80,16/07/2025,08:06:20,6ca04074
9.53983,100.07094,22.10,16/07/2025,08:06:32,6ca04074
9.53983,100.07095,23.50,16/07/2025,08:06:46,6ca04074
9.53982,100.07095,21.40,16/07/2025,08:06:59,6ca04074
